type,array_length,time,try
seq_mul_reduce,14001000,0.1058124810,7
simd_mul_reduce,14001000,0.0074565270,7
seq_mul,14001000,0.0699895400,8
simd_mul,14001000,0.0107841070,8
seq_mul_reduce,14001000,0.1058764620,8
simd_mul_reduce,14001000,0.0074148940,8
seq_mul,14001000,0.0697092710,9
simd_mul,14001000,0.0107619900,9
seq_mul_reduce,14001000,0.1058434760,9
simd_mul_reduce,14001000,0.0074086110,9
seq_mul,15001000,0.0751570150,0
simd_mul,15001000,0.0120268330,0
seq_mul_reduce,15001000,0.1149154730,0
simd_mul_reduce,15001000,0.0079327440,0
seq_mul,15001000,0.0751408110,1
simd_mul,15001000,0.0116100840,1
seq_mul_reduce,15001000,0.1143484930,1
simd_mul_reduce,15001000,0.0079330280,1
seq_mul,15001000,0.0749466420,2
simd_mul,15001000,0.0115542190,2
seq_mul_reduce,15001000,0.1137765620,2
simd_mul_reduce,15001000,0.0079583540,2
seq_mul,15001000,0.0750460160,3
simd_mul,15001000,0.0115876950,3
seq_mul_reduce,15001000,0.1133962350,3
simd_mul_reduce,15001000,0.0079457530,3
seq_mul,15001000,0.0756722310,4
simd_mul,15001000,0.0145355420,4
seq_mul_reduce,15001000,0.1131753210,4
simd_mul_reduce,15001000,0.0079951700,4
seq_mul,15001000,0.0752840650,5
simd_mul,15001000,0.0137866980,5
seq_mul_reduce,15001000,0.1154731920,5
simd_mul_reduce,15001000,0.0079335160,5
seq_mul,15001000,0.0756409920,6
simd_mul,15001000,0.0115963000,6
seq_mul_reduce,15001000,0.1131831940,6
simd_mul_reduce,15001000,0.0079331840,6
seq_mul,15001000,0.0749010940,7
simd_mul,15001000,0.0115418230,7
seq_mul_reduce,15001000,0.1133369250,7
simd_mul_reduce,15001000,0.0079653840,7
seq_mul,15001000,0.0754488150,8
simd_mul,15001000,0.0117581670,8
seq_mul_reduce,15001000,0.1146297240,8
simd_mul_reduce,15001000,0.0080600930,8
seq_mul,15001000,0.0752151330,9
simd_mul,15001000,0.0115184550,9
seq_mul_reduce,15001000,0.1137454590,9
simd_mul_reduce,15001000,0.0080120810,9
seq_mul,16001000,0.0809660320,0
simd_mul,16001000,0.0129252680,0
seq_mul_reduce,16001000,0.1254595570,0
simd_mul_reduce,16001000,0.0093949500,0
seq_mul,16001000,0.0842532660,1
simd_mul,16001000,0.0152970230,1
seq_mul_reduce,16001000,0.1252335920,1
simd_mul_reduce,16001000,0.0084824300,1
seq_mul,16001000,0.1125383610,2
simd_mul,16001000,0.0214185140,2
seq_mul_reduce,16001000,0.2337637950,2
simd_mul_reduce,16001000,0.0160325930,2
seq_mul,16001000,0.1461034920,3
simd_mul,16001000,0.0171768470,3
seq_mul_reduce,16001000,0.1215177750,3
simd_mul_reduce,16001000,0.0085826640,3
seq_mul,16001000,0.0805184880,4
simd_mul,16001000,0.0124475570,4
seq_mul_reduce,16001000,0.1211749130,4
simd_mul_reduce,16001000,0.0084658950,4
seq_mul,16001000,0.0799291310,5
simd_mul,16001000,0.0132902890,5
seq_mul_reduce,16001000,0.1210517980,5
simd_mul_reduce,16001000,0.0085143580,5
seq_mul,16001000,0.0797724060,6
